video_id,Author,Comment,published_at,likes,Topic
qIyKbz9gq1w,@avilevi311,פעם ראשונה מזה תקופה שכספי המסים שלי מחזירים תמורה חיובית,2026-01-21T09:01:14Z,0,Gastronomy
qIyKbz9gq1w,@paradiseorvegas,ואו ואו ואו כשאני בארץ אני רץ לשם,2026-01-17T20:32:05Z,0,Gastronomy
qIyKbz9gq1w,@BarShoval-u3g,אני דווקא לא אוהב יוגורט,2025-12-19T21:11:30Z,0,Gastronomy
qIyKbz9gq1w,@MrDragonorp,איזה כיף זה מה שנקרא מטבח ואוכל ישראלי מקומות שמייצרים מקומי וטרי מבחינתי זה פסגת האיכות והמזון גבוה ומשתווה לעיליתות ברחבי העולם צריך למצוא זמן לבוא לפרדס לטעום,2025-12-13T12:44:01Z,0,Gastronomy
qIyKbz9gq1w,@sharonsade6925,איפה קונים יוגורט של מוטק ה,2025-11-15T07:52:38Z,0,Gastronomy
qIyKbz9gq1w,@lilyashvedskaya3592,כתבה מצוינת תודה רבה לכם,2025-11-13T11:49:09Z,0,Gastronomy
qIyKbz9gq1w,@smadarshemmesh279,כל הכבוד ועוד יותר עבור השימוש בכלי נירוסטה אבל למה החומרי גלם יוגורט חלב כלי המדידה מכונת השחיקה הכל פלסטיק,2025-11-11T20:56:45Z,0,Gastronomy
qIyKbz9gq1w,@evgeni5930,יורקים ערבים לבפנים זאת הגלידה,2025-11-09T11:35:14Z,0,Gastronomy
qIyKbz9gq1w,@tranceb,עדיף לשאול שמאלסטרדמסקי להתרכז בכתבות מעניינות וטובות מהסוג הזה ולא בפרשנות פוליטית בהצלחה,2025-11-08T08:56:33Z,0,Gastronomy
qIyKbz9gq1w,@remitiras,זה החלום שלי להיות עסק מקומי קטן שעובד עם עסקים מקומיים קטנים אחרים ככה,2025-11-07T14:34:54Z,0,Gastronomy
1MP-Bv9jomg,@avirtsberger-rd4fo,תמשיכו לקשקש על איבולוציה של מיליוני שנים,2026-01-15T08:02:51Z,0,Ecology
1MP-Bv9jomg,@יעקבבןדוד-כ6ז,מזכירים את חללי לאוקטובר ואומרים על תנשמת אבולוציה ממש מאכזב,2025-12-30T10:48:53Z,0,Ecology
1MP-Bv9jomg,@יעקבבןדוד-כ6ז,אבולוציה עלק,2025-12-30T10:34:46Z,0,Ecology
1MP-Bv9jomg,@ערוץ-אשנב,זמן התחלה,2025-11-25T12:31:06Z,0,Ecology
1MP-Bv9jomg,@irmazed9142,ינשופים כאלה חמודים,2025-11-07T09:44:13Z,0,Ecology
1MP-Bv9jomg,@sagizulta7277,כתבה נהדרת איזה כייף שיש כתבות כאלה על טבע נישמח לעוד,2025-10-29T18:27:38Z,0,Ecology
1MP-Bv9jomg,@Engineering26,הם וגם חתולים לא לשכוח מצילות אותנו מהרבה מחלות ונחשים,2025-10-27T03:20:52Z,1,Ecology
1MP-Bv9jomg,@שמעוןיחילביץ,נעים לשמוע את קולו של הכתב הזה והכתבה מושלמת ויפה מאוד תודה,2025-10-26T20:48:37Z,1,Ecology
1MP-Bv9jomg,@שלמהאהרנסון,יאלה לשים כאלה בכל בני ברק,2025-10-26T10:42:37Z,0,Ecology
1MP-Bv9jomg,@isacgrotas8467,אתם לא רוצים הדברה כימית אני מסכים איתכם לגמרי אבל יש חסרון לשיטה שלכם אתם עושים הפרה של איזון אקולוגי זה בגלל שאתם רוצים לייצר תוצרת בכמות מסחרית לא למשפחה אחת אלא למכור לבני אדם רבים אני לא שופט אתכם רק מסביר לכם מה אתם גורמים יש יתרונות במה שאתם עושים אבל יש חסרונות הפגיעה באיזון האקולוגי זה לא משהו שאפשר להבחין בו מהיום למחר זה דבר שנמשך על פני תקופה אני מניח שהתגובה שלי כאן לא תרתיע אתכם מלהמשיך לעשות מה שאתם עושים רק דעו שיש לזה מחיר אתם אנשים שוחרי טבע,2025-10-25T20:25:41Z,0,Ecology
sHo9DjcF7-8,@אשרמזרחי-ג7מ,תודה,2026-01-24T05:54:22Z,0,Geopolitics
sHo9DjcF7-8,@IsraelWithoutFilters,עם דיבוב לרוסית,2026-01-06T18:59:05Z,0,Geopolitics
sHo9DjcF7-8,@user-fw9zr5gy1w,הודו לאלוקים אל נקמות ה,2025-12-30T11:44:15Z,0,Geopolitics
sHo9DjcF7-8,@נלחם,ערוץ אתם של ישראל,2025-12-26T09:13:32Z,2,Geopolitics
sHo9DjcF7-8,@accountantabed-il8ou,אין פה הגזמות בכלללללל,2025-12-24T16:21:33Z,0,Geopolitics
sHo9DjcF7-8,@משהעבדי-צ1מ,כל אדם מישראל צמוד משעות הבוקר למקורות מידע מתעדכן בחדשות מחליף רשמים עם משפחה שכנים וחברים הרבה דאגה באוויר פתאום אנחנו במלחמה היה לנו פספוס ביטחוני גדול זה ברור הפספוס התבטא בחוסר הערכה אופייני לנו של האויבים שלנו ובאי מוכנות צבאית צורבת קדם לזה פספוס גדול הרבה יותר מדובר במה שקורה בתוך העם שלנו בחודשים האחרונים בצורה כל כך מכוערת שקשה להתעלם ממנה ובעצם זה קורה בינינו כבר שבעים וחמש שנים ועוד כמה מאות ואלפי שנים שקדמו להן כמו היום אנחנו מצליחים לפספס את הנקודה כבר דורות על גבי דורות בגלל הגאווה שמתרוממת בינינו עם ישראל נוסד על הכלל ואהבת לרעך כמוך לכן הוא נוחל מפלה והשפלה כל פעם שהוא הולך בכיוון ההפוך לשנאה הדדית בינינו את זה פספסנו בגדול איך יכולנו לחשוב שיקרה אחרת יותר ויותר מתאספים ומצטברים בינינו גרעינים של שנאה ושוב מלחמה ושוב וזה לא עוזב אותנו ולא יעזוב לתהלוכות השנאה בתל אביב לקללות והניסיון לפגוע זה בזה לא הייתה יכולה להיות תוצאה אחרת וכולנו אחראים לה אנחנו צריכים להבין שאנחנו מזינים ומזמינים את כל המלחמות עלינו רק אנחנו כמו שאמרו חז ל אין פורענות באה לעולם אלא בשביל ישראל הגאווה בינינו היא האסון הלאומי שלנו כמו שכתב שלמה המלך אל תתהלל ביום כי מחר לא תדע מה ילד יום ההתקפות עלינו יהיו קשות יותר מחר אם לא נכניס בינינו היום ענווה ונטייה צנועה ופשוטה לחיבור לבבי עיקר המגן בפני הפורענות הוא האהבה והאחדות וכאשר יש בישראל אהבה ואחדות ורעות בין זה לזה אין מקום לשום פורענות לחול עליהם ספר מאור ושמש רק ביחסים בינינו תלוי הכול רק ביחסים בינינו ואין לנו צורך בדאגה אחרת ולא פחד אלא רק מכך שלא נתאחד מעבר לזה אנחנו נמצאים בידיו של הכוח העליון אותו כוח שדורש את האחדות בינינו כך כתוב בכל מקורות ישראל כל אדם מישראל שצמוד לחדשות צריך לשאול את עצמו למה זה קורה לנו ואז לעשות כל מה שבידו למען אחדות ישראל,2025-12-22T11:42:12Z,0,Geopolitics
sHo9DjcF7-8,@מוטישלוסברג,כתבה מרשימה הישג היסטורי לעם היושב בציון מאת השם הייתה זאת,2025-12-17T11:06:18Z,2,Geopolitics
sHo9DjcF7-8,@zhenia1234,פרק מדהים כל הכבוד,2025-12-15T07:47:07Z,2,Geopolitics
